la_group,la_fi,la_class,la_hi,la_Fi,la_Hi
"(17.0, 20.0)",15,19.68,0.0003,15,0.0003
"(20.0, 23.0)",102,21.24,0.0021,117,0.0024
"(23.0, 26.0)",511,25.72,0.0105,628,0.0129
"(26.0, 29.0)",2947,27.39,0.0604,3575,0.0733
"(29.0, 32.0)",3770,30.2,0.0772,7345,0.15050000000000002
"(32.0, 35.0)",9729,33.58,0.1993,17074,0.3498
"(35.0, 38.0)",6636,36.45,0.1359,23710,0.4857
"(38.0, 41.0)",13251,39.74,0.2714,36961,0.7571
"(41.0, 44.0)",9132,42.16,0.1871,46093,0.9441999999999999
"(44.0, 47.0)",1865,45.19,0.0382,47958,0.9823999999999999
"(47.0, 50.0)",812,47.71,0.0166,48770,0.9989999999999999
"(53.0, 56.0)",2,55.36,0.0,48772,0.9989999999999999
"(56.0, 59.0)",6,58.11,0.0001,48778,0.9990999999999999
"(59.0, 62.0)",40,61.0,0.0008,48818,0.9998999999999999
"(62.0, 65.0)",3,64.84,0.0001,48821,0.9999999999999999
